station id,station name,station latitude,station longitude
484,W 44 St & 5 Ave,40.755003,-73.980144
485,W 37 St & 5 Ave,40.75038,-73.98339
486,Broadway & W 29 St,40.746201,-73.988557
487,E 20 St & FDR Drive,40.733143,-73.975739
488,W 39 St & 9 Ave,40.756458,-73.993722
489,10 Ave & W 28 St,40.750664,-74.001768
490,8 Ave & W 33 St,40.751551,-73.993934
491,E 24 St & Park Ave S,40.740964,-73.986022
492,W 33 St & 7 Ave,40.7502,-73.990931
493,W 45 St & 6 Ave,40.7568,-73.982912
494,W 26 St & 8 Ave,40.747348,-73.997236
495,W 47 St & 10 Ave,40.762699,-73.993012
496,E 16 St & 5 Ave,40.737262,-73.99239
497,E 17 St & Broadway,40.73705,-73.990093
498,Broadway & W 32 St,40.748549,-73.988084
499,Broadway & W 60 St,40.769155,-73.981918
500,Broadway & W 51 St,40.762288,-73.983362
501,FDR Drive & E 35 St,40.744219,-73.971212
502,Henry St & Grand St,40.714215,-73.981346
503,E 20 St & Park Ave,40.738274,-73.98752
504,1 Ave & E 15 St,40.732219,-73.981656
505,6 Ave & W 33 St,40.749013,-73.988484
507,E 25 St & 2 Ave,40.739126,-73.979738
508,W 46 St & 11 Ave,40.763414,-73.996674
509,9 Ave & W 22 St,40.745497,-74.001971
510,W 51 St & 6 Ave,40.76066,-73.98042
511,E 14 St & Avenue B,40.729387,-73.977724
513,W 56 St & 10 Ave,40.768254,-73.988639
514,12 Ave & W 40 St,40.760875,-74.002777
515,W 43 St & 10 Ave,40.760094,-73.994618
516,E 47 St & 1 Ave,40.752069,-73.967844
517,Pershing Square South,40.751581,-73.97791
518,E 39 St & 2 Ave,40.747804,-73.973442
519,Pershing Square North,40.751873,-73.977706
520,W 52 St & 5 Ave,40.759923,-73.976485
521,8 Ave & W 31 St,40.750967,-73.994442
522,E 51 St & Lexington Ave,40.757148,-73.972078
523,W 38 St & 8 Ave,40.754666,-73.991382
524,W 43 St & 6 Ave,40.755273,-73.983169
525,W 34 St & 11 Ave,40.755942,-74.002116
526,E 33 St & 5 Ave,40.747659,-73.984907
527,E 33 St & 2 Ave,40.744023,-73.976056
528,2 Ave & E 31 St,40.742909,-73.977061
529,W 42 St & 8 Ave,40.75757,-73.990985
530,11 Ave & W 59 St,40.771522,-73.990541
